PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,
LS17212923,01/07/2021,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17213008,01/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17213019,01/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS1721302A,01/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17213030,01/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17213041,01/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17213052,01/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS20707811,01/07/2021,KIRKSTALL RD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS20707855,01/07/2021,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS20707866,01/07/2021,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS20707877,01/07/2021,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS2221877A,01/07/2021,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,
LS22218780,01/07/2021,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,
LS23411163,01/07/2021,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,
LS23715576,01/07/2021,KIRKSTALL RD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS25611301,01/07/2021,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS25611389,01/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS2561139A,01/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS25611403,01/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS25611414,01/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS25611425,01/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS25611436,01/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17512213,02/07/2021,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,
LS17512224,02/07/2021,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,
LS18420347,02/07/2021,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS20520300,02/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS22812500,02/07/2021,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,
LS22812533,02/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS22812544,02/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS23411254,02/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS23411265,02/07/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS23615946,02/07/2021,BEECH HILL CP - OTLEY,73 PARKED WITHOUT PAYMENT,50,
LS23615957,02/07/2021,BEECH HILL CP - OTLEY,73 PARKED WITHOUT PAYMENT,50,
LS23615968,02/07/2021,COURTHOUSE STREET CP - OTLEY,73 PARKED WITHOUT PAYMENT,50,
LS24424965,02/07/2021,QUEENSWAY CP - MORLEY                                       ,87 IN DISABLED BAY WITHOUT BADGE,70,
LS24706264,02/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS24820984,02/07/2021,QUEENSWAY CP - MORLEY                                       ,87 IN DISABLED BAY WITHOUT BADGE,70,
LS21414320,03/07/2021,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS21414331,03/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS21414342,03/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS21414353,03/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS22812555,03/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS22812566,03/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS22812577,03/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS23411287,03/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS23411298,03/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS23411301,03/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS23411312,03/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS24123266,03/07/2021,COTTINGLEY TOWERS CP - BEESTON,86 BEYOND THE BAY MARKINGS                        ,50,
LS24123277,03/07/2021,COTTINGLEY TOWERS CP - BEESTON,86 BEYOND THE BAY MARKINGS                        ,50,
LS24821127,03/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS24821138,03/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS24821149,03/07/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS20708111,04/07/2021,HUNSLET LANE CP - CITY,81 IN A RESTRICTED AREA IN A CAR PARK             ,70,
LS20708122,04/07/2021,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,
