PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS01805187,11/07/2016,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,11/03/2022,12.27,70.73,
LS11518352,21/09/2017,NORTH PARADE CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,20/01/2022,815,0,
LS11518352,21/09/2017,NORTH PARADE CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,21/02/2022,815,0,
LS1452913A,18/10/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,21/01/2022,2.16,0,
LS14398643,18/11/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,26/01/2022,83,0,
LS14398643,18/11/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/02/2022,83,0,
LS11795035,04/12/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,24/02/2022,12.47,70.53,
LS11795035,04/12/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,27/01/2022,12.47,70.53,
LS05250980,06/12/2019,SPRINGFIELD ROAD CP - GUISELEY                              ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,28/01/2022,58.73,24.27,
LS05250980,06/12/2019,SPRINGFIELD ROAD CP - GUISELEY                              ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,18/02/2022,58.73,24.27,
LS05250980,06/12/2019,SPRINGFIELD ROAD CP - GUISELEY                              ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,17/03/2022,58.73,24.27,
LS17404185,03/10/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,02/03/2022,83,0,
LS24113648,20/11/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/01/2022,25,0,
LS24113648,20/11/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/01/2022,25,0,
LS23609353,08/01/2021,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,18/03/2022,83,0,
LS24605289,31/03/2021,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,04/01/2022,0,84,
LS24605289,31/03/2021,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,31/01/2022,0,84,
LS22808707,01/04/2021,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,04/01/2022,0,84,
LS22808707,01/04/2021,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,31/01/2022,0,84,
LS17312484,19/04/2021,KIRKSTALL RD CP - CITY,73 PARKED WITHOUT PAYMENT,50,13/01/2022,0,0,
LS22215986,04/05/2021,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,03/02/2022,0,0,
LS22216344,11/05/2021,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
